Suburb,Postcode,State,Country,Latitude,Longitude
Tivendale,0822,Northern Territory,Australia,-12.69778888,130.8458714
Tiwi Islands,0822,Northern Territory,Australia,-11.56022358,130.8173579
Tortilla Flats,0822,Northern Territory,Australia,-12.69778888,130.8458714
Tumbling Waters,0822,Northern Territory,Australia,-12.76847,130.94999
Umbakumba,0822,Northern Territory,Australia,-13.06162713,132.8033925
Vernon Islands,0822,Northern Territory,Australia,-12.69778888,130.8458714
Wadeye,0822,Northern Territory,Australia,-14.23834,129.52177
Wagait Beach,0822,Northern Territory,Australia,-12.43482,130.74434
Wak Wak,0822,Northern Territory,Australia,-12.69778888,130.8458714
Warruwi,0822,Northern Territory,Australia,-11.64573,133.388367
Weddell,0822,Northern Territory,Australia,-12.69778888,130.8458714
West Arnhem,0822,Northern Territory,Australia,-12.23517,134.06033
Wickham,0822,Northern Territory,Australia,-12.55391327,130.9222974
Winnellie,0822,Northern Territory,Australia,-12.42924447,130.8859484
Wishart,0822,Northern Territory,Australia,-12.69778888,130.8458714
Woolaning,0822,Northern Territory,Australia,-12.69778888,130.8458714
Wurrumiyanga,0822,Northern Territory,Australia,-11.76082,130.62555
Berrimah,0828,Northern Territory,Australia,-12.43507029,130.9260579
Knuckey Lagoon,0828,Northern Territory,Australia,-12.4266,130.9457
Holtze,0829,Northern Territory,Australia,-12.44849777,131.0055575
Pinelands,0829,Northern Territory,Australia,-12.45756106,130.9597709
Archer,0830,Northern Territory,Australia,-12.51435,130.96875
Driver,0830,Northern Territory,Australia,-12.48601677,130.975393
Durack,0830,Northern Territory,Australia,-12.47307684,130.9720782
Farrar,0830,Northern Territory,Australia,-12.48028396,130.9981974
Gray,0830,Northern Territory,Australia,-12.4903627,130.9822801
Marlow Lagoon,0830,Northern Territory,Australia,-12.49132,130.96407
Moulden,0830,Northern Territory,Australia,-12.50558789,130.9731263
Palmerston,0830,Northern Territory,Australia,-12.48602366,130.9832954
Shoal Bay,0830,Northern Territory,Australia,-12.47307684,130.9720782
Woodroffe,0830,Northern Territory,Australia,-12.50172712,130.9801588
Yarrawonga,0830,Northern Territory,Australia,-12.47253516,130.9883807
Palmerston,0831,Northern Territory,Australia,-12.48602366,130.9832954
Bakewell,0832,Northern Territory,Australia,-12.49683933,130.9934353
Bellamack,0832,Northern Territory,Australia,-12.51707,130.98355
Gunn,0832,Northern Territory,Australia,-12.48764923,130.993217
Johnston,0832,Northern Territory,Australia,-12.48763764,131.0116852
Mitchell,0832,Northern Territory,Australia,-12.498569,130.9984193
Rosebery,0832,Northern Territory,Australia,-12.51046327,130.987803
Rosebery Heights,0832,Northern Territory,Australia,-12.48763764,131.0116852
Zuccoli,0832,Northern Territory,Australia,-12.48763764,131.0116852
Virginia,0834,Northern Territory,Australia,-12.51895,131.02844
Coolalinga,0835,Northern Territory,Australia,-12.52314,131.04149
Howard Springs,0835,Northern Territory,Australia,-12.49576,131.044464
Virginia,0835,Northern Territory,Australia,-12.51895,131.02844
Girraween,0836,Northern Territory,Australia,-12.52527591,131.0956557
Herbert,0836,Northern Territory,Australia,-12.53414266,131.1619729
Humpty Doo,0836,Northern Territory,Australia,-12.5840647,131.1367431
Manton,0837,Northern Territory,Australia,-12.8937,131.11324
Noonamah,0837,Northern Territory,Australia,-12.63123,131.0799
Berry Springs,0838,Northern Territory,Australia,-12.69676,131.00995
Coolalinga,0839,Northern Territory,Australia,-12.52314,131.04149
Dundee Beach,0840,Northern Territory,Australia,-12.717562,130.351316
Dundee Downs,0840,Northern Territory,Australia,-12.752207,130.51535
Dundee Forest,0840,Northern Territory,Australia,-12.71682,130.44754
Darwin River,0841,Northern Territory,Australia,-12.81930071,130.9697433
Batchelor,0845,Northern Territory,Australia,-13.05046,131.030716
Adelaide River,0846,Northern Territory,Australia,-13.23785676,131.1056042
Pine Creek,0847,Northern Territory,Australia,-13.82077,131.832947
Cossack,0850,Northern Territory,Australia,-14.45551397,132.174823
Emungalan,0850,Northern Territory,Australia,-14.44346957,132.2813637
Katherine,0850,Northern Territory,Australia,-14.46517,132.263474
Katherine East,0850,Northern Territory,Australia,-14.44346957,132.2813637
Katherine South,0850,Northern Territory,Australia,-14.44346957,132.2813637
Lansdowne,0850,Northern Territory,Australia,-14.43142516,132.3879044
Katherine,0851,Northern Territory,Australia,-14.46517,132.263474
Arnold,0852,Northern Territory,Australia,-15.00454541,133.3767512
Baines,0852,Northern Territory,Australia,-15.98279681,129.4995809
Barunga,0852,Northern Territory,Australia,-14.51956,132.864365
Beswick,0852,Northern Territory,Australia,-14.55801863,133.1150777
